"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2025-07-25T13:39:00.000Z","173.00","173.20","172.97","173.16","0.0983","0.0957","355,933"
"2025-07-25T13:40:00.000Z","173.16","173.16","173.00","173.06","-0.0550","-0.0576","332,040"
"2025-07-25T13:41:00.000Z","173.06","173.16","173.00","173.12","0.0319","0.0293","397,703"
"2025-07-25T13:42:00.000Z","173.11","173.32","173.07","173.26","0.0799","0.0774","449,846"
"2025-07-25T13:43:00.000Z","173.26","173.42","173.13","173.40","0.0788","0.0763","419,512"
"2025-07-25T13:44:00.000Z","173.40","173.45","173.32","173.35","-0.0260","-0.0285","303,109"
"2025-07-25T13:45:00.000Z","173.36","173.59","173.36","173.49","0.0801","0.0775","450,075"
"2025-07-25T13:46:00.000Z","173.49","173.49","173.34","173.46","-0.0166","-0.0192","304,270"
"2025-07-25T13:47:00.000Z","173.47","173.64","173.37","173.62","0.0902","0.0876","399,517"
"2025-07-25T13:48:00.000Z","173.63","173.78","173.58","173.59","-0.0181","-0.0207","464,468"
"2025-07-25T13:49:00.000Z","173.58","173.65","173.51","173.59","","-0.0026","298,387"
"2025-07-25T13:50:00.000Z","173.59","173.61","173.41","173.44","-0.0807","-0.0832","383,526"
"2025-07-25T13:51:00.000Z","173.44","173.65","173.40","173.61","0.0960","0.0934","409,582"
"2025-07-25T13:52:00.000Z","173.61","173.93","173.58","173.81","0.1143","0.1118","752,161"
"2025-07-25T13:53:00.000Z","173.81","173.97","173.72","173.97","0.0892","0.0866","450,785"
"2025-07-25T13:54:00.000Z","173.97","174.16","173.89","173.99","0.0144","0.0118","1,118,084"
"2025-07-25T13:55:00.000Z","173.98","174.48","173.91","174.40","0.2328","0.2302","983,329"
"2025-07-25T13:56:00.000Z","174.40","174.51","174.33","174.40","0.0029","0.0003","896,518"
"2025-07-25T13:57:00.000Z","174.40","174.55","174.28","174.34","-0.0373","-0.0399","610,985"
"2025-07-25T13:58:00.000Z","174.34","174.48","174.28","174.38","0.0267","0.0241","482,436"
"2025-07-25T13:59:00.000Z","174.38","174.39","174.25","174.28","-0.0553","-0.0579","457,616"
"2025-07-25T14:00:00.000Z","174.28","174.50","174.25","174.46","0.1004","0.0978","458,303"
"2025-07-25T14:01:00.000Z","174.46","174.50","174.28","174.45","-0.0057","-0.0083","513,692"
"2025-07-25T14:02:00.000Z","174.45","174.63","174.45","174.48","0.0172","0.0146","756,990"
"2025-07-25T14:03:00.000Z","174.49","174.59","174.28","174.58","0.0548","0.0522","469,171"
"2025-07-25T14:04:00.000Z","174.58","174.65","174.53","174.60","0.0168","0.0143","456,567"
"2025-07-25T14:05:00.000Z","174.61","174.67","174.41","174.45","-0.0888","-0.0914","404,957"
"2025-07-25T14:06:00.000Z","174.45","174.68","174.39","174.67","0.1261","0.1235","445,356"
"2025-07-25T14:07:00.000Z","174.67","174.72","174.40","174.52","-0.0859","-0.0885","667,043"
"2025-07-25T14:08:00.000Z","174.52","174.53","174.27","174.28","-0.1347","-0.1372","376,889"
"2025-07-25T14:09:00.000Z","174.29","174.55","174.28","174.53","0.1406","0.1380","485,522"
"2025-07-25T14:10:00.000Z","174.53","174.53","174.31","174.46","-0.0401","-0.0427","293,232"
"2025-07-25T14:11:00.000Z","174.46","174.47","174.34","174.37","-0.0516","-0.0542","247,097"
"2025-07-25T14:12:00.000Z","174.37","174.43","174.22","174.25","-0.0688","-0.0714","300,119"
"2025-07-25T14:13:00.000Z","174.25","174.29","174.01","174.06","-0.1119","-0.1145","500,249"
"2025-07-25T14:14:00.000Z","174.05","174.18","174.02","174.13","0.0411","0.0385","263,784"
"2025-07-25T14:15:00.000Z","174.13","174.15","174.04","174.11","-0.0095","-0.0121","211,128"
"2025-07-25T14:16:00.000Z","174.10","174.12","173.96","174.02","-0.0516","-0.0542","428,665"
"2025-07-25T14:17:00.000Z","174.03","174.04","173.92","174.02","-0.0027","-0.0053","310,136"
"2025-07-25T14:18:00.000Z","174.01","174.05","173.88","174.03","0.0113","0.0087","252,449"
"2025-07-25T14:19:00.000Z","174.03","174.23","173.98","174.19","0.0898","0.0872","404,450"
"2025-07-25T14:20:00.000Z","174.20","174.21","174.10","174.16","-0.0208","-0.0234","231,684"
"2025-07-25T14:21:00.000Z","174.16","174.26","174.12","174.18","0.0115","0.0089","225,563"
"2025-07-25T14:22:00.000Z","174.17","174.24","174.10","174.18","0.0029","0.0003","158,057"
"2025-07-25T14:23:00.000Z","174.18","174.19","174.01","174.09","-0.0519","-0.0545","246,609"
"2025-07-25T14:24:00.000Z","174.09","174.18","174.06","174.11","0.0117","0.0091","164,800"
"2025-07-25T14:25:00.000Z","174.11","174.19","174.08","174.15","0.0230","0.0204","131,702"
"2025-07-25T14:26:00.000Z","174.14","174.37","174.14","174.37","0.1235","0.1209","507,496"
"2025-07-25T14:27:00.000Z","174.37","174.38","174.30","174.37","0.0022","-0.0004","318,943"
"2025-07-25T14:28:00.000Z","174.37","174.44","174.34","174.41","0.0236","0.0210","321,564"
"2025-07-25T14:29:00.000Z","174.40","174.50","174.35","174.46","0.0298","0.0272","315,196"
"2025-07-25T14:30:00.000Z","174.47","174.57","174.45","174.56","0.0562","0.0536","359,376"
"2025-07-25T14:31:00.000Z","174.56","174.62","174.35","174.36","-0.1146","-0.1172","454,713"
"2025-07-25T14:32:00.000Z","174.36","174.47","174.35","174.43","0.0373","0.0347","258,217"
"2025-07-25T14:33:00.000Z","174.42","174.57","174.38","174.52","0.0552","0.0526","288,963"
"2025-07-25T14:34:00.000Z","174.53","174.68","174.46","174.50","-0.0151","-0.0177","416,727"
"2025-07-25T14:35:00.000Z","174.50","174.56","174.45","174.55","0.0305","0.0280","285,137"
"2025-07-25T14:36:00.000Z","174.53","174.54","174.39","174.44","-0.0607","-0.0633","219,225"
"2025-07-25T14:37:00.000Z","174.45","174.53","174.37","174.37","-0.0405","-0.0431","192,742"
"2025-07-25T14:38:00.000Z","174.38","174.40","174.29","174.31","-0.0342","-0.0368","246,228"
"2025-07-25T14:39:00.000Z","174.31","174.39","174.24","174.28","-0.0194","-0.0220","214,215"
"2025-07-25T14:40:00.000Z","174.28","174.31","174.16","174.21","-0.0411","-0.0437","260,476"
"2025-07-25T14:41:00.000Z","174.20","174.31","174.20","174.29","0.0469","0.0443","231,293"
"2025-07-25T14:42:00.000Z","174.28","174.33","174.25","174.28","-0.0047","-0.0073","199,553"
"2025-07-25T14:43:00.000Z","174.28","174.31","174.16","174.30","0.0115","0.0089","235,473"
"2025-07-25T14:44:00.000Z","174.31","174.33","174.21","174.22","-0.0430","-0.0456","159,174"
"2025-07-25T14:45:00.000Z","174.22","174.23","174.12","174.13","-0.0517","-0.0542","278,227"
"2025-07-25T14:46:00.000Z","174.13","174.31","174.12","174.29","0.0919","0.0893","320,317"
"2025-07-25T14:47:00.000Z","174.30","174.34","174.25","174.29","-0.0029","-0.0055","206,788"
"2025-07-25T14:48:00.000Z","174.28","174.38","174.26","174.35","0.0344","0.0318","179,607"
"2025-07-25T14:49:00.000Z","174.34","174.35","174.22","174.23","-0.0689","-0.0715","137,048"
"2025-07-25T14:50:00.000Z","174.22","174.28","174.18","174.23","0.0015","-0.0011","167,099"
"2025-07-25T14:51:00.000Z","174.24","174.25","174.12","174.12","-0.0646","-0.0672","249,112"
"2025-07-25T14:52:00.000Z","174.12","174.13","173.97","174.00","-0.0718","-0.0744","423,261"
"2025-07-25T14:53:00.000Z","174.00","174.11","173.97","174.04","0.0259","0.0233","234,676"
"2025-07-25T14:54:00.000Z","174.05","174.05","173.92","173.93","-0.0604","-0.0630","308,903"
"2025-07-25T14:55:00.000Z","173.94","173.97","173.85","173.92","-0.0085","-0.0111","354,344"
"2025-07-25T14:56:00.000Z","173.92","173.94","173.79","173.88","-0.0229","-0.0255","314,534"
"2025-07-25T14:57:00.000Z","173.89","174.04","173.88","174.01","0.0776","0.0750","388,905"
"2025-07-25T14:58:00.000Z","174.02","174.03","173.94","173.98","-0.0174","-0.0200","202,117"
"2025-07-25T14:59:00.000Z","173.98","174.07","173.94","174.04","0.0347","0.0321","179,119"
"2025-07-25T15:00:00.000Z","174.05","174.08","173.84","173.91","-0.0785","-0.0811","328,954"
"2025-07-25T15:01:00.000Z","173.91","173.95","173.85","173.87","-0.0249","-0.0275","153,017"
"2025-07-25T15:02:00.000Z","173.87","173.88","173.67","173.69","-0.1032","-0.1058","353,400"
"2025-07-25T15:03:00.000Z","173.69","173.83","173.64","173.81","0.0716","0.0690","339,740"
"2025-07-25T15:04:00.000Z","173.81","173.92","173.80","173.89","0.0471","0.0445","214,647"
"2025-07-25T15:05:00.000Z","173.90","173.91","173.84","173.88","-0.0068","-0.0094","119,216"
"2025-07-25T15:06:00.000Z","173.88","173.97","173.87","173.94","0.0335","0.0309","159,695"
"2025-07-25T15:07:00.000Z","173.94","173.98","173.81","173.83","-0.0623","-0.0648","252,420"
"2025-07-25T15:08:00.000Z","173.82","173.86","173.77","173.83","0.0028","0.0002","271,629"
"2025-07-25T15:09:00.000Z","173.84","173.86","173.72","173.77","-0.0388","-0.0414","172,179"
"2025-07-25T15:10:00.000Z","173.76","173.85","173.75","173.82","0.0331","0.0306","182,824"
"2025-07-25T15:11:00.000Z","173.83","173.85","173.76","173.81","-0.0086","-0.0112","157,878"
"2025-07-25T15:12:00.000Z","173.81","173.92","173.80","173.91","0.0576","0.0550","219,383"
"2025-07-25T15:13:00.000Z","173.91","173.94","173.85","173.88","-0.0173","-0.0199","180,198"
"2025-07-25T15:14:00.000Z","173.88","173.88","173.77","173.77","-0.0633","-0.0658","224,436"
"2025-07-25T15:15:00.000Z","173.77","173.81","173.73","173.74","-0.0201","-0.0227","200,745"
"2025-07-25T15:16:00.000Z","173.74","173.80","173.70","173.76","0.0144","0.0118","202,210"
"2025-07-25T15:17:00.000Z","173.76","173.90","173.76","173.87","0.0657","0.0631","245,806"
"2025-07-25T15:18:00.000Z","173.88","173.96","173.85","173.96","0.0493","0.0468","237,067"
"2025-07-25T15:19:00.000Z","173.96","173.98","173.88","173.90","-0.0344","-0.0370","210,529"
"2025-07-25T15:20:00.000Z","173.91","173.98","173.89","173.92","0.0115","0.0089","154,776"
"2025-07-25T15:21:00.000Z","173.91","173.97","173.83","173.97","0.0259","0.0233","186,938"
"2025-07-25T15:22:00.000Z","173.97","174.06","173.91","174.06","0.0517","0.0491","283,797"
"2025-07-25T15:23:00.000Z","174.05","174.18","174.02","174.11","0.0316","0.0290","531,448"
"2025-07-25T15:24:00.000Z","174.11","174.13","174.00","174.02","-0.0517","-0.0543","246,278"
"2025-07-25T15:25:00.000Z","174.02","174.06","173.95","174.03","0.0086","0.0060","217,692"
"2025-07-25T15:26:00.000Z","174.04","174.05","173.90","173.90","-0.0776","-0.0802","176,390"
"2025-07-25T15:27:00.000Z","173.91","174.02","173.89","174.02","0.0689","0.0664","206,706"
"2025-07-25T15:28:00.000Z","174.01","174.08","173.96","174.07","0.0315","0.0290","190,525"
"2025-07-25T15:29:00.000Z","174.08","174.14","174.05","174.07","-0.0038","-0.0064","227,395"
"2025-07-25T15:30:00.000Z","174.07","174.11","174.05","174.09","0.0155","0.0129","197,538"
"2025-07-25T15:31:00.000Z","174.10","174.15","173.96","173.98","-0.0661","-0.0686","234,549"
"2025-07-25T15:32:00.000Z","173.99","174.00","173.91","173.97","-0.0057","-0.0083","243,852"
"2025-07-25T15:33:00.000Z","173.97","174.02","173.90","173.93","-0.0230","-0.0256","193,275"
"2025-07-25T15:34:00.000Z","173.93","173.95","173.88","173.91","-0.0116","-0.0141","182,397"
"2025-07-25T15:35:00.000Z","173.90","173.94","173.85","173.88","-0.0143","-0.0168","145,109"
"2025-07-25T15:36:00.000Z","173.88","173.90","173.81","173.84","-0.0259","-0.0285","163,274"
"2025-07-25T15:37:00.000Z","173.83","173.89","173.78","173.87","0.0174","0.0148","189,216"
"2025-07-25T15:38:00.000Z","173.88","173.91","173.86","173.90","0.0143","0.0117","285,135"
"2025-07-25T15:39:00.000Z","173.90","173.93","173.87","173.88","-0.0115","-0.0141","119,257"
"2025-07-25T15:40:00.000Z","173.88","173.96","173.87","173.95","0.0431","0.0405","119,636"
"2025-07-25T15:41:00.000Z","173.94","173.96","173.81","173.82","-0.0747","-0.0773","155,533"
"2025-07-25T15:42:00.000Z","173.81","173.84","173.79","173.81","-0.0086","-0.0112","95,267"
"2025-07-25T15:43:00.000Z","173.81","173.89","173.81","173.85","0.0265","0.0239","127,924"
"2025-07-25T15:44:00.000Z","173.85","173.87","173.80","173.80","-0.0293","-0.0319","115,801"
"2025-07-25T15:45:00.000Z","173.81","173.87","173.79","173.83","0.0173","0.0147","108,860"
"2025-07-25T15:46:00.000Z","173.84","173.85","173.78","173.79","-0.0201","-0.0227","141,073"
"2025-07-25T15:47:00.000Z","173.79","173.84","173.75","173.80","0.0029","0.0003","156,351"
"2025-07-25T15:48:00.000Z","173.79","173.90","173.79","173.90","0.0575","0.0550","128,637"
"2025-07-25T15:49:00.000Z","173.90","173.92","173.83","173.92","0.0107","0.0081","135,033"
"2025-07-25T15:50:00.000Z","173.92","174.06","173.92","174.00","0.0497","0.0471","192,485"
"2025-07-25T15:51:00.000Z","174.00","174.05","173.95","174.01","0.0057","0.0032","173,989"
"2025-07-25T15:52:00.000Z","174.02","174.06","173.99","174.02","0.0029","0.0003","110,619"
"2025-07-25T15:53:00.000Z","174.03","174.10","174.02","174.07","0.0316","0.0290","147,583"
"2025-07-25T15:54:00.000Z","174.07","174.13","174.01","174.03","-0.0259","-0.0284","166,953"
"2025-07-25T15:55:00.000Z","174.03","174.06","174.00","174.03","","-0.0026","77,329"
"2025-07-25T15:56:00.000Z","174.03","174.11","174.02","174.09","0.0373","0.0348","88,896"
"2025-07-25T15:57:00.000Z","174.10","174.13","174.07","174.09","-0.0029","-0.0055","96,669"
"2025-07-25T15:58:00.000Z","174.09","174.10","174.04","174.06","-0.0144","-0.0170","93,895"
"2025-07-25T15:59:00.000Z","174.06","174.06","174.00","174.01","-0.0314","-0.0340","104,683"
"2025-07-25T16:00:00.000Z","174.01","174.09","173.98","174.08","0.0402","0.0376","111,140"
"2025-07-25T16:01:00.000Z","174.08","174.13","174.02","174.03","-0.0287","-0.0313","128,036"
"2025-07-25T16:02:00.000Z","174.03","174.09","174.00","174.06","0.0201","0.0175","120,039"
"2025-07-25T16:03:00.000Z","174.06","174.17","174.06","174.09","0.0144","0.0118","185,163"
"2025-07-25T16:04:00.000Z","174.09","174.18","174.08","174.16","0.0402","0.0376","129,931"
"2025-07-25T16:05:00.000Z","174.16","174.25","174.14","174.21","0.0314","0.0288","247,756"
"2025-07-25T16:06:00.000Z","174.22","174.38","174.22","174.28","0.0404","0.0378","301,031"
"2025-07-25T16:07:00.000Z","174.28","174.34","174.26","174.32","0.0228","0.0202","177,574"
"2025-07-25T16:08:00.000Z","174.33","174.38","174.33","174.34","0.0059","0.0033","163,459"
"2025-07-25T16:09:00.000Z","174.34","174.36","174.32","174.35","0.0086","0.0060","97,132"
"2025-07-25T16:10:00.000Z","174.34","174.36","174.27","174.30","-0.0287","-0.0313","163,221"
"2025-07-25T16:11:00.000Z","174.29","174.29","174.20","174.24","-0.0373","-0.0399","154,084"
"2025-07-25T16:12:00.000Z","174.24","174.33","174.23","174.29","0.0344","0.0319","157,452"
"2025-07-25T16:13:00.000Z","174.30","174.39","174.29","174.38","0.0488","0.0462","149,592"
"2025-07-25T16:14:00.000Z","174.39","174.43","174.32","174.34","-0.0201","-0.0227","245,030"
"2025-07-25T16:15:00.000Z","174.34","174.46","174.34","174.44","0.0574","0.0548","196,535"
"2025-07-25T16:16:00.000Z","174.44","174.53","174.41","174.42","-0.0170","-0.0196","462,532"
"2025-07-25T16:17:00.000Z","174.41","174.44","174.34","174.36","-0.0302","-0.0328","142,028"
"2025-07-25T16:18:00.000Z","174.37","174.38","174.29","174.32","-0.0255","-0.0281","114,495"
"2025-07-25T16:19:00.000Z","174.32","174.33","174.23","174.25","-0.0418","-0.0444","125,331"
"2025-07-25T16:20:00.000Z","174.24","174.26","174.20","174.21","-0.0194","-0.0220","130,991"
"2025-07-25T16:21:00.000Z","174.21","174.21","174.16","174.21","-0.0008","-0.0034","189,588"
"2025-07-25T16:22:00.000Z","174.21","174.25","174.20","174.22","0.0086","0.0060","119,318"
"2025-07-25T16:23:00.000Z","174.22","174.39","174.22","174.30","0.0430","0.0405","213,446"
"2025-07-25T16:24:00.000Z","174.30","174.39","174.27","174.38","0.0433","0.0407","132,505"
"2025-07-25T16:25:00.000Z","174.38","174.42","174.32","174.39","0.0083","0.0057","135,264"
"2025-07-25T16:26:00.000Z","174.39","174.42","174.36","174.39","0.0028","0.0002","102,316"
"2025-07-25T16:27:00.000Z","174.40","174.44","174.38","174.43","0.0229","0.0204","112,189"
"2025-07-25T16:28:00.000Z","174.44","174.45","174.40","174.41","-0.0114","-0.0139","127,612"
"2025-07-25T16:29:00.000Z","174.41","174.42","174.38","174.38","-0.0201","-0.0227","78,928"
"2025-07-25T16:30:00.000Z","174.39","174.47","174.39","174.47","0.0487","0.0462","203,589"
"2025-07-25T16:31:00.000Z","174.47","174.50","174.45","174.49","0.0144","0.0118","142,709"
"2025-07-25T16:32:00.000Z","174.50","174.50","174.44","174.47","-0.0115","-0.0141","98,955"
"2025-07-25T16:33:00.000Z","174.47","174.49","174.40","174.44","-0.0201","-0.0226","115,228"
"2025-07-25T16:34:00.000Z","174.44","174.44","174.38","174.41","-0.0143","-0.0169","134,447"
"2025-07-25T16:35:00.000Z","174.41","174.44","174.38","174.41","","-0.0026","79,754"
"2025-07-25T16:36:00.000Z","174.41","174.41","174.33","174.35","-0.0325","-0.0351","143,690"
"2025-07-25T16:37:00.000Z","174.35","174.38","174.33","174.34","-0.0048","-0.0073","142,393"
"2025-07-25T16:38:00.000Z","174.35","174.42","174.34","174.41","0.0373","0.0347","114,935"
"2025-07-25T16:39:00.000Z","174.41","174.42","174.38","174.41","0.0014","-0.0012","61,177"
"2025-07-25T16:40:00.000Z","174.41","174.42","174.30","174.33","-0.0462","-0.0488","130,002"
"2025-07-25T16:41:00.000Z","174.33","174.34","174.27","174.28","-0.0297","-0.0323","98,253"
"2025-07-25T16:42:00.000Z","174.28","174.28","174.15","174.23","-0.0287","-0.0313","193,484"
"2025-07-25T16:43:00.000Z","174.22","174.23","174.17","174.18","-0.0316","-0.0342","83,742"
"2025-07-25T16:44:00.000Z","174.17","174.20","174.14","174.19","0.0076","0.0050","123,649"
"2025-07-25T16:45:00.000Z","174.19","174.21","174.09","174.09","-0.0564","-0.0590","153,843"
"2025-07-25T16:46:00.000Z","174.09","174.14","174.09","174.09","0.0029","0.0003","90,641"
"2025-07-25T16:47:00.000Z","174.10","174.10","174.05","174.09","-0.0029","-0.0055","94,824"
"2025-07-25T16:48:00.000Z","174.09","174.12","174.06","174.12","0.0144","0.0118","121,166"
